nom,prix_brut,description,prix,marque,ram_gb,gamme,score_prix_perf
Pc Portable BMAX MaxBook X15 Pro / N95 / 16 Go / 512 Go SSD / Windows 11 / Gris,"1 099,000 DT","Pc Portable BMAX MaxBook X15 Pro / N95 / 16 Go / 512 Go SSD / Windows 11 / Gris
[MAXBOOK-X15PRO]


Écran 15.6"" Full HD, IPS - Processeur Intel N95 12e génération, (jusqu’à 3.4 GHz, 6 Mo de mémoire cache) - Mémoire 16 Go DDR4 - Disque SSD NVMe M.2 512 Go - Carte graphique Intel UHD Graphics intégrée - 3x USB - 1x HDMI - Prise casque stéréo 3.5 mm - Wi-Fi - Bluetooth - Windows 11 - Couleur : Gris - Garantie 1 an












































En stock


1 099,000 DT
Prix













Ajouter au panier






 Favoris







Comparer",1099.0,PC,16,Standard,68.6875
Pc Portable BMAX MaxBook X15 Pro / N100 / 16 Go / 512 Go SSD / Windows 11 / Gris,"1 149,000 DT","Pc Portable BMAX MaxBook X15 Pro / N100 / 16 Go / 512 Go SSD / Windows 11 / Gris
[MAXBOOK-X15PRO-N100]


Écran 15.6"" Full HD, IPS - Processeur Intel N100 12e génération, (jusqu’à 3.4 GHz, 6 Mo de mémoire cache) - Mémoire 16 Go DDR4- Disque SSD NVMe M.2 512 Go - Carte graphique Intel UHD Graphics intégrée - 3x USB - 1x HDMI - Prise casque stéréo 3.5 mm - Wi-Fi - Bluetooth - Windows 11 - Couleur : Gris - Garantie 1 an












































En stock


1 149,000 DT
Prix













Ajouter au panier






 Favoris







Comparer",1149.0,PC,16,Standard,71.8125
Pc Portable BMAX MaxBook X15 POWER / i3-8109U / 16 Go / 512 Go SSD / Windows 11 / Gris,"1 285,000 DT","Pc Portable BMAX MaxBook X15 POWER / i3-8109U / 16 Go / 512 Go SSD / Windows 11 / Gris
[MAXBOOK-X15POWER]


Écran 15.6"" Full HD, IPS - Processeur Intel Core i3-8109U, (jusqu’à 3.4 GHz, 6 Mo de mémoire cache) - Mémoire 16 Go DDR4- Disque SSD NVMe M.2 512 Go - Carte graphique Intel Iris Plus Graphics 655 - Clavier complet / Pavé tactile de grande taille - Boîtier fin convertible à 180° - 3x ports USB 3.0 - 1x port mini HDMI - prise casque 3.5 mm - Windows 11 - Couleur Gris - Garantie 1 an












































En stock


1 285,000 DT
Prix













Ajouter au panier






 Favoris







Comparer",1285.0,PC,16,Standard,80.3125
Pc Portable CHUWI CoreBook / i3-10100Y / 8 Go / 256 Go SSD / Windows 11 / Gris,"1 299,000 DT","Pc Portable CHUWI CoreBook / i3-10100Y / 8 Go / 256 Go SSD / Windows 11 / Gris
[COREBOOK-I3]


Écran 14"" Full HD (1920 x 1080), IPS - Processeur Intel Core i3-10100Y, (jusqu’à 3.9 GHz, 4 Mo de mémoire cache) - Mémoire 8 Go DDR3l - Disque SSD NVMe M.2 256 Go - Carte graphique NVIDIA GeForce UHD Graphics - 2x USB 3.0 Type-A - 1x USB 2.0 Type-C - 1x HDMI 1.4 - 1x entrée CC - 1 prise audio 3.5 mm - Wi-Fi - Bluetooth - Windows 11 - Couleur Gris - Garantie 1 an












































En stock


1 299,000 DT
Prix













Ajouter au panier






 Favoris







Comparer",1299.0,PC,8,Standard,162.375
Pc Portable Lenovo IdeaPad 1 15IJL7 / Celeron N4500 / 8 Go / 256 Go SSD / Gris,"1 299,000 DT","Pc Portable Lenovo IdeaPad 1 15IJL7 / Celeron N4500 / 8 Go / 256 Go SSD / Gris
[82LX00CFFG]


Écran 15.6"" HD (1366x768), antireflet - Processeur Intel Celeron N4500, (jusqu’à 2.8 GHz, 4 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD Graphics intégrée - Lecteur de carte SD - 2x Haut-parleurs stéréo 1.5 W, Dolby Audio - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi 6 - Bluetooth 5.2 - 1x USB 2.0 - 1x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x prise combinée casque/microphone (3.5 mm) - FreeDos - Couleur Gris nuage - Garantie 1 an












































En stock


1 299,000 DT
Prix













Ajouter au panier






 Favoris







Comparer",1299.0,PC,8,Standard,162.375
Pc Portable Lenovo V15 G2 IJL / N4500 / 8 Go / 256 Go SSD / Noir,"1 299,000 DT","Pc Portable Lenovo V15 G2 IJL / N4500 / 8 Go / 256 Go SSD / Noir
[82QY00PEFE]


Écran 15.6"" Full HD (1920 x 1080 px), antireflet - Processeur Intel Celeron N4500, (jusqu’à 2.8 GHz, 4 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD Graphics intégrée - 2x Haut-parleurs stéréo 1.5 W Dolby Audio - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi 5 - Bluetooth 5.1 - 1x USB 2.0 - 1x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x prise combinée casque/microphone (3.5 mm) - 1x Ethernet (RJ-45) - FreeDOS - Couleur Gris arctique - Garantie 1 an












































En stock


1 299,000 DT
Prix













Ajouter au panier






 Favoris







Comparer",1299.0,PC,8,Standard,162.375
"Pc Portable Lenovo IdeaPad 1 15IJL7 / Celeron N4500 / 8 Go / 256 Go SSD / Gris Avec Sac à Dos  Lenovo 15.6"" Offert","1 299,000 DT","Pc Portable Lenovo IdeaPad 1 15IJL7 / Celeron N4500 / 8 Go / 256 Go SSD / Gris Avec Sac à Dos  Lenovo 15.6"" Offert
[82LX00H0FG]


Écran 15.6"" HD (1366x768), antireflet - Processeur Intel Celeron N4500, (jusqu’à 2.8 GHz, 4 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD Graphics intégrée - Lecteur de carte SD - 2x Haut-parleurs stéréo 1.5 W, Dolby Audio - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi 6 - Bluetooth 5.2 - 1x USB 2.0 - 1x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x prise combinée casque/microphone (3.5 mm) - FreeDos - Couleur Gris nuage - Garantie 1 an Avec Sac à Dos Lenovo 15.6"" Offert












































En stock


1 299,000 DT
Prix













Ajouter au panier






 Favoris







Comparer",1299.0,PC,8,Standard,162.375
Pc Portable Lenovo IdeaPad 1 15IJL7 / Celeron N4500 / 8 Go / 256 Go SSD / Bleu,"1 299,000 DT","Pc Portable Lenovo IdeaPad 1 15IJL7 / Celeron N4500 / 8 Go / 256 Go SSD / Bleu
[82LX00CKFG]


Écran 15.6"" HD (1366x768), antireflet - Processeur Intel Celeron N4500, (jusqu’à 2.8 GHz, 4 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD Graphics intégrée - Lecteur de carte SD - 2x Haut-parleurs stéréo 1.5 W, Dolby Audio - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi 6 - Bluetooth 5.2 - 1x USB 2.0 - 1x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x prise combinée casque/microphone (3.5 mm) - FreeDos - Couleur Bleu abyssal - Garantie 1 an












































En stock


1 299,000 DT
Prix













Ajouter au panier






 Favoris







Comparer",1299.0,PC,8,Standard,162.375
Pc Portable Lenovo IdeaPad 1 15IJL7 / Celeron N4500 / 8 Go / 256 Go SSD / Gris,"1 299,000 DT","Pc Portable Lenovo IdeaPad 1 15IJL7 / Celeron N4500 / 8 Go / 256 Go SSD / Gris
[82LX00CFFE]


Écran 15.6"" HD (1366x768), antireflet - Processeur Intel Celeron N4500, (jusqu’à 2.8 GHz, 4 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD Graphics intégrée - Lecteur de carte SD - 2x Haut-parleurs stéréo 1.5 W, Dolby Audio - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi 6 - Bluetooth 5.2 - 1x USB 2.0 - 1x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x prise combinée casque/microphone (3.5 mm) - FreeDos - Couleur Gris nuage - Garantie 1 an












































En stock


1 299,000 DT
Prix













Ajouter au panier






 Favoris







Comparer",1299.0,PC,8,Standard,162.375
Pc Portable Lenovo IdeaPad 1 15IJL7 / Celeron N4500 / 8 Go / 256 Go SSD / Bleu Avec SACOCHE Offert,"1 309,000 DT","Pc Portable Lenovo IdeaPad 1 15IJL7 / Celeron N4500 / 8 Go / 256 Go SSD / Bleu Avec SACOCHE Offert
[82LX00CKFG-SAC]


Écran 15.6"" HD (1366x768), antireflet - Processeur Intel Celeron N4500, (jusqu’à 2.8 GHz, 4 Mo de mémoire cache) - Mémoire 8 Go DDR4 - Disque SSD M.2 NVMe 256 Go - Carte graphique Intel UHD Graphics intégrée - Lecteur de carte SD - 2x Haut-parleurs stéréo 1.5 W, Dolby Audio - Caméra HD 720p avec obturateur de confidentialité - Wi-Fi 6 - Bluetooth 5.2 - 1x USB 2.0 - 1x USB 3.2 - 1x USB-C 3.2 - 1x HDMI 1.4b - 1x prise combinée casque/microphone (3.5 mm) - FreeDos - Couleur Bleu abyssal - Garantie 1 an Avec SACOCHE Offert












































En stock


1 309,000 DT
Prix













Ajouter au panier






 Favoris







Comparer",1309.0,PC,8,Standard,163.625
